Sample	posterior	likelihood	prior	TreeHeight	varValues	ORCucldMean	ORCsigma	ORCRatesStat.mean	ORCRatesStat.variance	ORCRatesStat.coefficientOfVariation	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD
5830000	5218.95603360233	6184.64577921676	-965.68974561443	74.179530390843	0.00194335239834315	0.0100650449551365	1.74933441541631	0.0248709917863024	0.00473664655742697	2.81203402097022	-160.261340564898	0.000538229915161843	0.994887653226758	0.0908876417397327	76.9087094025443	2
5840000	5217.15618057305	6181.03761736981	-963.881436796766	92.5023143742215	0.00153787741233271	0.0107470851508778	1.72246873977654	0.0231479310983873	0.00309712282926272	3.55738872686407	-175.158591252598	0.000831746763966761	0.990131177687967	0.0979997372702434	106.09089924198	2
5850000	5217.67216217234	6179.42458463339	-961.752422461054	115.248959278158	0.00168707342102981	0.0101449290266709	1.6738492528044	0.0218233023634119	0.00261188524075811	3.15220975957747	-174.293122378444	0.000890108152789328	0.988843283398622	0.0848618891998672	129.968764221282	2
5860000	5267.50217792152	6204.33544539925	-936.833267477731	107.603354490683	0.00201936637613982	0.0101733100085828	1.72532401290243	0.0154528831647308	0.00438369336717102	4.77706617355579	-177.481653022196	0.0019252369660669	0.968880622185569	0.106319021165488	132.487896300134	2
5870000	5282.88853295658	6209.84476482674	-926.956231870153	121.641167832494	0.00221536966678737	0.0103110444019135	1.76283894731206	0.0185861401967593	0.00068119053923977	2.94278263231662	-174.808341751821	0.00958440250294397	0.808561729771848	0.160719695289144	128.092514180532	2
5880000	5240.06964614351	6194.52311462933	-954.453468485814	90.2153420070757	0.00208412582215465	0.0100376509437456	1.80630166897046	0.0239970536278146	0.00296156601846924	2.71985849221143	-162.464981383769	0.0185067712206211	0.789324652433111	0.0608892261092086	97.0124187114883	2
5890000	5292.36205840624	6194.62428580899	-902.262227402757	64.1495182699676	0.00273395952045888	0.0101152789630589	1.93111696681584	0.0165495798952746	0.0254142238099487	5.99934092164909	-160.344607647692	0.0327058331599782	0.65129255612653	0.16785193126566	80.9666561620542	2
5900000	5285.82258188761	6193.29365262193	-907.471070734323	87.6320651941161	0.00281414715610839	0.0102094146463644	1.77273066269588	0.0159585194312253	0.00323845359278646	4.69424590012216	-164.977371045482	0.016538368016877	0.759520382991304	0.231670590527397	93.4866366585761	2
5910000	5303.56304243272	6215.21391208118	-911.650869648456	96.7449383862813	0.00239977267304359	0.0101206761424722	1.87783396471237	0.0157928864901377	0.00247857979624719	4.48564904700154	-167.210911173078	0.016032926032815	0.818035981874447	0.177750772016374	115.179591955754	2
5920000	5308.08755136724	6222.14859045995	-914.061039092709	82.4411252602324	0.00250659072147814	0.0102922929512303	1.66905123182642	0.0195396810002176	0.00273128152115001	4.43077294662683	-163.751369560339	0.011603538156575	0.820984328280254	0.217554739519837	112.155276668945	2
5930000	5313.35624951864	6211.76221953216	-898.405970013515	55.3733267884856	0.00273312966759667	0.0106540113854855	2.00673251846743	0.0155453696970725	0.00552322644044504	5.00416351306928	-157.367319834414	0.0377276872443542	0.576542704796424	0.198941194719366	55.8298762742961	2
